Track ID,Speed (km/h),Date & Time,Vehicle Model,Color,Company,Number Plate,Crop Image
4,48.7,10/21/2025 3:25,Unknown,Black,Smart,2635 BSY,crop/4_48.7kmh.jpg
7,40.5,10/21/2025 3:25,Unknown,Red,Renault,9079 GCH,crop/7_40.5kmh.jpg
9,55.7,10/21/2025 3:25,Unknown,Silver,Unknown,MA 4844 CC,crop/9_55.7kmh.jpg
15,54,10/21/2025 3:25,Unknown,Black,Unknown,5553 DNM,crop/15_54.0kmh.jpg
17,54,10/21/2025 3:25,Jumpy,White,CitroÃ«n,3693 FSG,crop/17_54.0kmh.jpg
21,48.7,10/21/2025 3:25,Golf,Silver,Volkswagen,3574 BNW,crop/21_48.7kmh.jpg
27,55.7,10/21/2025 3:26,Fluence,Black,Renault,0262 HFP,crop/27_55.7kmh.jpg
29,42.7,10/21/2025 3:26,Altea XL,Silver,SEAT,8934 FMR,crop/29_42.7kmh.jpg
33,55.7,10/21/2025 3:26,CR-V,Blue,Honda,5280 DLY,crop/33_55.7kmh.jpg
34,55.7,10/21/2025 3:26,Unknown,Black,Unknown,9916 GHS,crop/34_55.7kmh.jpg
37,55.7,10/21/2025 3:26,Unknown,White,Volkswagen,7963 JVJ,crop/37_55.7kmh.jpg
40,54,10/21/2025 3:26,Leon,Black,SEAT,3092 FRX,crop/40_54.0kmh.jpg
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
43,54.0,2025-10-24 19:32:33,** Look for specific design features or badges.,"** In this case, it seems to be silver.",** Often indicated by a logo or name on the vehicle.,"** You already provided this as ""MA 3043-DF.""",crop/43_54.0kmh.jpg
4,48.7,2025-10-24 19:35:10,Unknown,Black,Smart,2835 BXY,crop/4_48.7kmh.jpg
7,40.5,2025-10-24 19:35:15,Unknown,Red,Renault,9079 GCH,crop/7_40.5kmh.jpg
9,55.7,2025-10-24 19:35:16,Unknown,Silver,Unknown,MA 4844 CC,crop/9_55.7kmh.jpg
